addr,token,result
0x04b00,0x4b020000,"sub w0, w0, w2"
0x04b04,0x54fffbe2,"b.cs 0x4a80"
0x04b08,0x97ffd4bd,"bl 0xffffffffffff9dfc"
0x04b0c,0x97ffd560,"bl 0xffffffffffffa08c"
0x04b10,0xf94006e3,"ldr x3, [x23, #0x8]"
0x04b14,0x928000e2,"mov x2, #-0x8"
0x04b18,0xb94006e1,"ldr w1, [x23, #0x4]"
0x04b1c,0x8b21cc42,"add x2, x2, w1, SXTW  #0x3"
0x04b20,0xf8626862,"ldr x2, [x3, x2, LSL #0x0]"
0x04b24,0x4b020021,"sub w1, w1, w2"
0x04b28,0x1e260122,"fmov w2, s9"
0x04b2c,0x4a010041,"eor w1, w2, w1"
0x04b30,0x1e260102,"fmov w2, s8"
0x04b34,0x0b020021,"add w1, w1, w2"
0x04b38,0xb90006e1,"str w1, [x23, #0x4]"
0x04b3c,0x97ffd62d,"bl 0xffffffffffffa3f0"
0x04b40,0x97ffd62b,"bl 0xffffffffffffa3ec"
0x04b44,0x97ffd7c3,"bl 0xffffffffffffaa50"
0x04b48,0x97ffd58f,"bl 0xffffffffffffa184"
0x04b4c,0xb9407fa0,"ldr w0, [x29, #0x7c]"
0x04b50,0x92400301,"and x1, x24, #0x1"
0x04b54,0xb9007fa0,"str w0, [x29, #0x7c]"
0x04b58,0x4b0103e0,"neg w0, w1"
0x04b5c,0x1e270028,"fmov s8, w1"
0x04b60,0x17ffff95,"b 0x49b4"
0x04b64,0x97ffd56a,"bl 0xffffffffffffa10c"
0x04b68,0xb2400000,"orr x0, x0, #0x1"
0x04b6c,0x9b007c20,"mul x0, x1, x0"
0x04b70,0x91000801,"add x1, x0, #0x2"
0x04b74,0x9b000000,"madd x0, x0, x0, x0"
0x04b78,0x9b017c00,"mul x0, x0, x1"
0x04b7c,0x91000802,"add x2, x0, #0x2"
0x04b80,0x91000c01,"add x1, x0, #0x3"
0x04b84,0x9b027c21,"mul x1, x1, x2"
0x04b88,0x91000c03,"add x3, x0, #0x3"
0x04b8c,0x91001002,"add x2, x0, #0x4"
0x04b90,0x9b010401,"madd x1, x0, x1, x1"
0x04b94,0x9b037c42,"mul x2, x2, x3"
0x04b98,0xd341fc41,"lsr x1, x2, #0x1"
0x04b9c,0x91001004,"add x4, x0, #0x4"
0x04ba0,0x91001402,"add x2, x0, #0x5"
0x04ba4,0x9b047c42,"mul x2, x2, x4"
0x04ba8,0x9b007c21,"mul x1, x1, x0"
0x04bac,0x9b037c20,"mul x0, x1, x3"
0x04bb0,0xd343fc00,"lsr x0, x0, #0x3"
0x04bb4,0x9b027c00,"mul x0, x0, x2"
0x04bb8,0x91001804,"add x4, x0, #0x6"
0x04bbc,0x91001403,"add x3, x0, #0x5"
0x04bc0,0x91001802,"add x2, x0, #0x6"
0x04bc4,0x9b047c63,"mul x3, x3, x4"
0x04bc8,0x91001c05,"add x5, x0, #0x7"
0x04bcc,0x91000c04,"add x4, x0, #0x3"
0x04bd0,0x9b027c62,"mul x2, x3, x2"
0x04bd4,0x9b057c42,"mul x2, x2, x5"
0x04bd8,0x9b047c20,"mul x0, x1, x4"
0x04bdc,0xd343fc41,"lsr x1, x2, #0x3"
0x04be0,0xdac01022,"clz x2, x1"
0x04be4,0xd2800801,"mov x1, #0x40"
0x04be8,0xb9800002,"ldrswx2, [x0]"
0x04bec,0x9b1a7c21,"mul x1, x1, x26"
0x04bf0,0x91000c21,"add x1, x1, #0x3"
0x04bf4,0x54000b4c,"b.gt 0x4d5c"
0x04bf8,0x52800103,"mov w3, #0x8"
0x04bfc,0xd0000340,"adrp x0, 0x6e000"
0x04c00,0x2a0403e3,"mov w3, w4"
0x04c04,0x51000464,"sub w4, w3, #0x1"
0x04c08,0xf9478c02,"ldr x2, [x0, #0xf18]"
0x04c0c,0xf8645842,"ldr x2, [x2, w4, UXTW #0x3]"
0x04c10,0x7100207f,"cmp w3, #0x8"
0x04c14,0x52800113,"mov w19, #0x8"
0x04c18,0x1a939073,"csel w19, w3, w19, ls"
0x04c1c,0xd000035b,"adrp x27, 0x6e000"
0x04c20,0xeb1a027f,"cmp x19, x26"
0x04c24,0x91264362,"add x2, x27, #0x990"
0x04c28,0x9a9a9273,"csel x19, x19, x26, ls"
0x04c2c,0xcb1a0280,"sub x0, x20, x26"
0x04c30,0x51000661,"sub w1, w19, #0x1"
0x04c34,0x8b000277,"add x23, x19, x0"
0x04c38,0xb000027c,"adrp x28, 0x51000"
0x04c3c,0x93407c36,"sxtw x22, w1"
0x04c40,0x2a1303f4,"mov w20, w19"
0x04c44,0xf861d841,"ldr x1, [x2, w1, SXTW #0x3]"
0x04c48,0x9120c381,"add x1, x28, #0x830"
0x04c4c,0x6b130353,"subs w19, w26, w19"
0x04c50,0x38766839,"ldrb w25, [x1, x22, LSL ]"
0x04c54,0x540007c0,"b.eq 0x4d4c"
0x04c58,0xd2800036,"mov x22, #0x1"
0x04c5c,0x6b13029f,"cmp w20, w19"
0x04c60,0x91264361,"add x1, x27, #0x990"
0x04c64,0x1a93d294,"csel w20, w20, w19, le"
0x04c68,0x51000683,"sub w3, w20, #0x1"
0x04c6c,0x8b34c2f7,"add x23, x23, w20, SXTW "
0x04c70,0x93407c78,"sxtw x24, w3"
0x04c74,0xf863d821,"ldr x1, [x1, w3, SXTW #0x3]"
0x04c78,0x9120c384,"add x4, x28, #0x830"
0x04c7c,0x38786884,"ldrb w4, [x4, x24, LSL ]"
0x04c80,0x8b040339,"add x25, x25, x4"
0x04c84,0x97ffd7ae,"bl 0xffffffffffffab3c"
0x04c88,0xf8367aa0,"str x0, [x21, x22, LSL #0x3]"
0x04c8c,0x9a9606d6,"cinc x22, x22, ne"
0x04c90,0x6b140273,"subs w19, w19, w20"
0x04c94,0x54fffd61,"b.ne 0x4c40"
0x04c98,0xd1002273,"sub x19, x19, #0x8"
0x04c9c,0xb0000345,"adrp x5, 0x6d000"
0x04ca0,0xb0000343,"adrp x3, 0x6d000"
0x04ca4,0x9120c39c,"add x28, x28, #0x830"
0x04ca8,0xf947c8a5,"ldr x5, [x5, #0xf90]"
0x04cac,0xf9477463,"ldr x3, [x3, #0xee8]"
0x04cb0,0x8b5a04a5,"add x5, x5, x26, LSR #0x1"
0x04cb4,0xf87a7b84,"ldr x4, [x28, x26, LSL #0x3]"
0x04cb8,0xf87a7863,"ldr x3, [x3, x26, LSL #0x3]"
0x04cbc,0x385ff0a5,"ldurbw5, [x5, #-0x1]"
0x04cc0,0x4b1900a5,"sub w5, w5, w25"
0x04cc4,0x97ffd401,"bl 0xffffffffffff9cc8"
0x04cc8,0xf8736aa0,"ldr x0, [x21, x19, LSL #0x0]"
0x04ccc,0xb5000100,"cbnz x0, 0x4cec"
0x04cd0,0xb9000416,"str w22, [x0, #0x4]"
0x04cd4,0x97ffd2dd,"bl 0xffffffffffff9848"
0x04cd8,0xa9a57bfd,"stp x29, x30, [sp, #-0x1b0]!"
0x04cdc,0xb0000359,"adrp x25, 0x6d000"
0x04ce0,0xd341fc5a,"lsr x26, x2, #0x1"
0x04ce4,0xf100675f,"cmp x26, #0x19"
0x04ce8,0xf900d7a3,"str x3, [x29, #0x1a8]"
0x04cec,0x54000aa8,"b.hi 0x4e40"
0x04cf0,0xcb1a02f7,"sub x23, x23, x26"
0x04cf4,0xf1010eff,"cmp x23, #0x43"
0x04cf8,0xcb1a02d6,"sub x22, x22, x26"
0x04cfc,0xb940071b,"ldr w27, [x24, #0x4]"
0x04d00,0x93407f74,"sxtw x20, w27"
0x04d04,0x54000caa,"b.ge 0x4e98"
0x04d08,0xf9400713,"ldr x19, [x24, #0x8]"
0x04d0c,0x90000275,"adrp x21, 0x50000"
0x04d10,0x9120c2a4,"add x4, x21, #0x830"
0x04d14,0x51000ac0,"sub w0, w22, #0x2"
0x04d18,0xb0000346,"adrp x6, 0x6d000"
0x04d1c,0x4b1602e2,"sub w2, w23, w22"
0x04d20,0x53017ec1,"lsr w1, w22, #0x1"
0x04d24,0x51000848,"sub w8, w2, #0x2"
0x04d28,0xf8605880,"ldr x0, [x4, w0, UXTW #0x3]"
0x04d2c,0x53017eea,"lsr w10, w23, #0x1"
0x04d30,0xf8775865,"ldr x5, [x3, w23, UXTW #0x3]"
0x04d34,0x51000427,"sub w7, w1, #0x1"
0x04d38,0xf947c8c6,"ldr x6, [x6, #0xf90]"
0x04d3c,0x53017c49,"lsr w9, w2, #0x1"
0x04d40,0x5100054a,"sub w10, w10, #0x1"
0x04d44,0x51000529,"sub w9, w9, #0x1"
0x04d48,0xf8685888,"ldr x8, [x4, w8, UXTW #0x3]"
0x04d4c,0x9b057c05,"mul x5, x0, x5"
0x04d50,0x386768c3,"ldrb w3, [x6, x7, LSL ]"
0x04d54,0x386a68c4,"ldrb w4, [x6, x10, LSL ]"
0x04d58,0x386968c6,"ldrb w6, [x6, x9, LSL ]"
0x04d5c,0x9b087ca5,"mul x5, x5, x8"
0x04d60,0x4b030084,"sub w4, w4, w3"
0x04d64,0x4b060083,"sub w3, w4, w6"
0x04d68,0x9ac320a3,"lsl x3, x5, x3"
0x04d6c,0x97ffd743,"bl 0xffffffffffffaa78"
0x04d70,0xf83bda60,"str x0, [x19, w27, SXTW #0x3]"
0x04d74,0x9a940694,"cinc x20, x20, ne"
0x04d78,0x9120c2a3,"add x3, x21, #0x830"
0x04d7c,0xd10036c6,"sub x6, x22, #0xd"
0x04d80,0x91084061,"add x1, x3, #0x210"
0x04d84,0x9108c060,"add x0, x3, #0x230"
0x04d88,0x910bc063,"add x3, x3, #0x2f0"
0x04d8c,0xeb1a02df,"cmp x22, x26"
0x04d90,0x38666827,"ldrb w7, [x1, x6, LSL ]"
0x04d94,0xf8667804,"ldr x4, [x0, x6, LSL #0x3]"
0x04d98,0xf8667863,"ldr x3, [x3, x6, LSL #0x3]"
0x04d9c,0x4b0500e5,"sub w5, w7, w5"
0x04da0,0x97ffd399,"bl 0xffffffffffff9c04"
0x04da4,0x8b030e64,"add x4, x19, x3, LSL #0x3"
0x04da8,0xd1002084,"sub x4, x4, #0x8"
0x04dac,0xf85f8485,"ldr x5, [x4], #-0x8"
0x04db0,0xaa0303f4,"mov x20, x3"
0x04db4,0xb4ffffa5,"cbz x5, 0x4da8"
0x04db8,0xb9000714,"str w20, [x24, #0x4]"
0x04dbc,0xf940d7a1,"ldr x1, [x29, #0x1a8]"
0x04dc0,0xa8db7bfd,"ldp x29, x30, [sp], #0x1b0"
0x04dc4,0x97ffff99,"bl 0x4c28"
0x04dc8,0x54fff5a9,"b.ls 0x4c7c"
0x04dcc,0x9101a3b3,"add x19, x29, #0x68"
0x04dd0,0x528004c0,"mov w0, #0x26"
0x04dd4,0xf10066df,"cmp x22, #0x19"
0x04dd8,0x9101e3a0,"add x0, x29, #0x78"
0x04ddc,0x54000149,"b.ls 0x4e04"
0x04de0,0x97ffff8a,"bl 0x4c08"
0x04de4,0x97ffd360,"bl 0xffffffffffff9b64"
0x04de8,0xb9800714,"ldrswx20, [x24, #0x4]"
0x04dec,0x97ffff0e,"bl 0x4a24"
0x04df0,0x97ffd254,"bl 0xffffffffffff9740"
0x04df4,0x17ffff99,"b 0x4c58"
0x04df8,0x97ffd429,"bl 0xffffffffffff9e9c"
0x04dfc,0xd1001437,"sub x23, x1, #0x5"
0x04e00,0xb24002e1,"orr x1, x23, #0x1"
0x04e04,0xb201f3f7,"orr x23, xzr, #-0x5555555555555556"
0x04e08,0xb0000353,"adrp x19, 0x6d000"
0x04e0c,0xf90023bf,"str xzr, [x29, #0x40]"
0x04e10,0x9bd77c37,"umulhx23, x1, x23"
0x04e14,0xd347fee1,"lsr x1, x23, #0x7"
0x04e18,0xd341fef7,"lsr x23, x23, #0x1"
0x04e1c,0x540022c8,"b.hi 0x5274"
0x04e20,0x927ce421,"and x1, x1, #0x3ffffffffffffff0"
0x04e24,0x97ffd643,"bl 0xffffffffffffa730"
0x04e28,0x52800102,"mov w2, #0x8"
0x04e2c,0x2a0103e2,"mov w2, w1"
0x04e30,0x51000441,"sub w1, w2, #0x1"
0x04e34,0xf9478c64,"ldr x4, [x3, #0xf18]"
0x04e38,0xf8615884,"ldr x4, [x4, w1, UXTW #0x3]"
0x04e3c,0x2a0203e1,"mov w1, w2"
0x04e40,0x9ac108a1,"udiv x1, x5, x1"
0x04e44,0xeb010c1f,"cmp x0, x1, LSL #0x3"
0x04e48,0x54002043,"b.cc 0x5250"
0x04e4c,0xd2800102,"mov x2, #0x8"
0x04e50,0x9ac208a0,"udiv x0, x5, x2"
0x04e54,0x91009800,"add x0, x0, #0x26"
0x04e58,0xcb1802b0,"sub x16, x21, x24"
0x04e5c,0xd341ff00,"lsr x0, x24, #0x1"
0x04e60,0xd341feb1,"lsr x17, x21, #0x1"
0x04e64,0xd341fe06,"lsr x6, x16, #0x1"
0x04e68,0x9200f000,"and x0, x0, #0x5555555555555555"
0x04e6c,0x9200f223,"and x3, x17, #0x5555555555555555"
0x04e70,0x9200f0c6,"and x6, x6, #0x5555555555555555"
0x04e74,0xcb000300,"sub x0, x24, x0"
0x04e78,0xcb0302a3,"sub x3, x21, x3"
0x04e7c,0xcb060206,"sub x6, x16, x6"
0x04e80,0xd342fc05,"lsr x5, x0, #0x2"
0x04e84,0xd342fc67,"lsr x7, x3, #0x2"
0x04e88,0x9200e4c4,"and x4, x6, #0x3333333333333333"
0x04e8c,0xd342fcc6,"lsr x6, x6, #0x2"
0x04e90,0x9200e400,"and x0, x0, #0x3333333333333333"
0x04e94,0x9200e463,"and x3, x3, #0x3333333333333333"
0x04e98,0x9200e4a5,"and x5, x5, #0x3333333333333333"
0x04e9c,0x9200e4e7,"and x7, x7, #0x3333333333333333"
0x04ea0,0x9200e4c6,"and x6, x6, #0x3333333333333333"
0x04ea4,0x8b0000a5,"add x5, x5, x0"
0x04ea8,0x8b0400c3,"add x3, x6, x4"
0x04eac,0x8b4510a5,"add x5, x5, x5, LSR #0x4"
0x04eb0,0x92800012,"mov x18, #-0x1"
0x04eb4,0x8b431063,"add x3, x3, x3, LSR #0x4"
0x04eb8,0x8b401000,"add x0, x0, x0, LSR #0x4"
0x04ebc,0x9200cc63,"and x3, x3, #0xf0f0f0f0f0f0f0f"
0x04ec0,0x9200cca5,"and x5, x5, #0xf0f0f0f0f0f0f0f"
0x04ec4,0x9200cc00,"and x0, x0, #0xf0f0f0f0f0f0f0f"
0x04ec8,0x8b432063,"add x3, x3, x3, LSR #0x8"
0x04ecc,0x8b4520a5,"add x5, x5, x5, LSR #0x8"
0x04ed0,0x8b402000,"add x0, x0, x0, LSR #0x8"
0x04ed4,0x8b434063,"add x3, x3, x3, LSR #0x10"
0x04ed8,0x8b4540a5,"add x5, x5, x5, LSR #0x10"
0x04edc,0x8b404000,"add x0, x0, x0, LSR #0x10"
0x04ee0,0x8b438063,"add x3, x3, x3, LSR #0x20"
0x04ee4,0x8b4580a5,"add x5, x5, x5, LSR #0x20"
0x04ee8,0x9ad50a52,"udiv x18, x18, x21"
0x04eec,0x8b408000,"add x0, x0, x0, LSR #0x20"
0x04ef0,0x92401c63,"and x3, x3, #0xff"
0x04ef4,0xcb200060,"sub x0, x3, w0, UXTB "
0x04ef8,0x8b250005,"add x5, x0, w5, UXTB "
0x04efc,0x9ac52105,"lsl x5, x8, x5"
0x04f00,0xeb05025f,"cmp x18, x5"
0x04f04,0x54000082,"b.cs 0x4f14"
0x04f08,0xf9000025,"str x5, [x1]"
0x04f0c,0xaa0803e2,"mov x2, x8"
0x04f10,0xaa0803e5,"mov x5, x8"
0x04f14,0xb201f3ee,"orr x14, xzr, #-0x5555555555555556"
0x04f18,0xaa1503e7,"mov x7, x21"
0x04f1c,0x910005ce,"add x14, x14, #0x1"
0x04f20,0x9bce7c66,"umulhx6, x3, x14"
0x04f24,0x9bce7ce4,"umulhx4, x7, x14"
0x04f28,0xd37ef4a8,"lsl x8, x5, #0x2"
0x04f2c,0xd37ef4ca,"lsl x10, x6, #0x2"
0x04f30,0xd37ef489,"lsl x9, x4, #0x2"
0x04f34,0xcb060144,"sub x4, x10, x6"
0x04f38,0xcb050108,"sub x8, x8, x5"
0x04f3c,0xcb040063,"sub x3, x3, x4"
0x04f40,0xcb000124,"sub x4, x9, x0"
0x04f44,0x8b030183,"add x3, x12, x3"
0x04f48,0xcb0400e4,"sub x4, x7, x4"
0x04f4c,0xd280002b,"mov x11, #0x1"
0x04f50,0x9a858105,"csel x5, x8, x5, hi"
0x04f54,0x9a9f97ec,"cset x12, hi"
0x04f58,0xf100081f,"cmp x0, #0x2"
0x04f5c,0x54fffd48,"b.hi 0x4f04"
0x04f60,0x528007c3,"mov w3, #0x3e"
0x04f64,0x528007e4,"mov w4, #0x3f"
0x04f68,0xd10006a0,"sub x0, x21, #0x1"
0x04f6c,0xaa0b03ed,"mov x13, x11"
0x04f70,0xdac01000,"clz x0, x0"
0x04f74,0x4b000084,"sub w4, w4, w0"
0x04f78,0x4b000060,"sub w0, w3, w0"
0x04f7c,0x13017c83,"asr w3, w4, #0x1"
0x04f80,0x13017c04,"asr w4, w0, #0x1"
0x04f84,0x9ac32163,"lsl x3, x11, x3"
0x04f88,0x9ac4216b,"lsl x11, x11, x4"
0x04f8c,0x8b0b0063,"add x3, x3, x11"
0x04f90,0xd1001463,"sub x3, x3, #0x5"
0x04f94,0xd280000f,"mov x15, #0x0"
0x04f98,0xaa0d0063,"orr x3, x3, x13"
0x04f9c,0x9bce7c6e,"umulhx14, x3, x14"
0x04fa0,0xd341fdce,"lsr x14, x14, #0x1"
0x04fa4,0xf86f7ac0,"ldr x0, [x22, x15, LSL #0x3]"
0x04fa8,0x9100058c,"add x12, x12, #0x1"
0x04fac,0xea0001bf,"tst x13, x0"
0x04fb0,0x54000381,"b.ne 0x5020"
0x04fb4,0xd37ef584,"lsl x4, x12, #0x2"
0x04fb8,0x92400183,"and x3, x12, #0x1"
0x04fbc,0xeb1200bf,"cmp x5, x18"
0x04fc0,0xcb0c0084,"sub x4, x4, x12"
0x04fc4,0x54000089,"b.ls 0x4fd4"
0x04fc8,0xf8227825,"str x5, [x1, x2, LSL #0x3]"
0x04fcc,0xd2800025,"mov x5, #0x1"
0x04fd0,0xaa1803e7,"mov x7, x24"
0x04fd4,0xaa1503e6,"mov x6, x21"
0x04fd8,0xd280000a,"mov x10, #0x0"
0x04fdc,0x9ac308e8,"udiv x8, x7, x3"
0x04fe0,0x9b037cab,"mul x11, x5, x3"
0x04fe4,0x9ac308c9,"udiv x9, x6, x3"
0x04fe8,0x9b039d04,"msub x4, x8, x3, x7"
0x04fec,0xaa0803e7,"mov x7, x8"
0x04ff0,0x8b040144,"add x4, x10, x4"
0x04ff4,0x9b039928,"msub x8, x9, x3, x6"
0x04ff8,0xaa0903e6,"mov x6, x9"
0x04ffc,0x9a858165,"csel x5, x11, x5, hi"
0x05000,0x9a9f97ea,"cset x10, hi"
0x05004,0xeb03013f,"cmp x9, x3"
0x05008,0x54fffe62,"b.cs 0x4fd4"
0x0500c,0x93cdfdad,"ror x13, x13, #0x3f"
0x05010,0xeb0e019f,"cmp x12, x14"
0x05014,0x924001a0,"and x0, x13, #0x1"
0x05018,0x8b0001ef,"add x15, x15, x0"
0x0501c,0x54fffba9,"b.ls 0x4f90"
0x05020,0xd1001631,"sub x17, x17, #0x5"
0x05024,0xb201f3e9,"orr x9, xzr, #-0x5555555555555556"
0x05028,0xb2400231,"orr x17, x17, #0x1"
0x0502c,0x91000529,"add x9, x9, #0x1"
0x05030,0x910005c6,"add x6, x14, #0x1"
0x05034,0xd37ef5c0,"lsl x0, x14, #0x2"
0x05038,0x9bc97e29,"umulhx9, x17, x9"
0x0503c,0x120014c4,"and w4, w6, #0x3f"
0x05040,0xcb0e000e,"sub x14, x0, x14"
0x05044,0xd346fcc7,"lsr x7, x6, #0x6"
0x05048,0x8b120252,"add x18, x18, x18"
0x0504c,0x9ac42064,"lsl x4, x3, x4"
0x05050,0x910019ce,"add x14, x14, #0x6"
0x05054,0xaa0303e5,"mov x5, x3"
0x05058,0x93c4fc84,"ror x4, x4, #0x3f"
0x0505c,0x92400080,"and x0, x4, #0x1"
0x05060,0x91000dce,"add x14, x14, #0x3"
0x05064,0x8b0000e7,"add x7, x7, x0"
0x05068,0x540002e8,"b.hi 0x50c4"
0x0506c,0xf8677ac0,"ldr x0, [x22, x7, LSL #0x3]"
0x05070,0xea00009f,"tst x4, x0"
0x05074,0x924000c3,"and x3, x6, #0x1"
0x05078,0x8b0301c3,"add x3, x14, x3"
0x0507c,0x9ac30aa8,"udiv x8, x21, x3"
0x05080,0x9ac30b00,"udiv x0, x24, x3"
0x05084,0x9b03d508,"msub x8, x8, x3, x21"
0x05088,0x9b03e000,"msub x0, x0, x3, x24"
0x0508c,0xeb00011f,"cmp x8, x0"
0x05090,0x54fffdc2,"b.cs 0x5048"
0x05094,0x54fffd28,"b.hi 0x5038"
0x05098,0x9b037ca5,"mul x5, x5, x3"
0x0509c,0x54fffd69,"b.ls 0x5048"
0x050a0,0xd1001610,"sub x16, x16, #0x5"
0x050a4,0xb201f3e0,"orr x0, xzr, #-0x5555555555555556"
0x050a8,0xb2400210,"orr x16, x16, #0x1"
0x050ac,0xd341fe52,"lsr x18, x18, #0x1"
0x050b0,0x9bc07e00,"umulhx0, x16, x0"
0x050b4,0xd341fc04,"lsr x4, x0, #0x1"
0x050b8,0x91000486,"add x6, x4, #0x1"
0x050bc,0xd37ef480,"lsl x0, x4, #0x2"
0x050c0,0x120014c8,"and w8, w6, #0x3f"
0x050c4,0xcb040000,"sub x0, x0, x4"
0x050c8,0x9ac82063,"lsl x3, x3, x8"
0x050cc,0x91001800,"add x0, x0, #0x6"
0x050d0,0x93c3fc63,"ror x3, x3, #0x3f"
0x050d4,0xeb1700df,"cmp x6, x23"
0x050d8,0x92400064,"and x4, x3, #0x1"
0x050dc,0x91000c00,"add x0, x0, #0x3"
0x050e0,0x8b0400e7,"add x7, x7, x4"
0x050e4,0x54000228,"b.hi 0x5128"
0x050e8,0xf8677ac4,"ldr x4, [x22, x7, LSL #0x3]"
0x050ec,0xea04007f,"tst x3, x4"
0x050f0,0x924000c4,"and x4, x6, #0x1"
0x050f4,0x54fffde8,"b.hi 0x50b0"
0x050f8,0x9b047ca5,"mul x5, x5, x4"
0x050fc,0x54fffe29,"b.ls 0x50c0"
0x05100,0xb40004a2,"cbz x2, 0x5194"
0x05104,0x97ffd42f,"bl 0xffffffffffffa1c0"
0x05108,0xf94023a0,"ldr x0, [x29, #0x40]"
0x0510c,0xb5000440,"cbnz x0, 0x5194"
0x05110,0x910103a0,"add x0, x29, #0x40"
0x05114,0x97ffd3bc,"bl 0xffffffffffffa004"
0x05118,0x17fffeed,"b 0x4ccc"
0x0511c,0xd2800101,"mov x1, #0x8"
0x05120,0x2a0003e1,"mov w1, w0"
0x05124,0x51000420,"sub w0, w1, #0x1"
0x05128,0xf9478c62,"ldr x2, [x3, #0xf18]"
0x0512c,0xf8605842,"ldr x2, [x2, w0, UXTW #0x3]"
0x05130,0x97ffd3ad,"bl 0xffffffffffff9fe4"
0x05134,0xf9000005,"str x5, [x0]"
0x05138,0xb4fffba0,"cbz x0, 0x50ac"
0x0513c,0x97ffd0ac,"bl 0xffffffffffff93ec"
0x05140,0x17ffffdb,"b 0x50ac"
0x05144,0x97ffd2de,"bl 0xffffffffffff9cbc"
0x05148,0xfd0043ec,"str d12, [sp, #0x80]"
0x0514c,0xb0000340,"adrp x0, 0x6e000"
0x05150,0xf9479c03,"ldr x3, [x0, #0xf38]"
0x05154,0xf90053bf,"str xzr, [x29, #0xa0]"
0x05158,0xd28004e0,"mov x0, #0x27"
0x0515c,0xd37ef423,"lsl x3, x1, #0x2"
0x05160,0xcb010061,"sub x1, x3, x1"
0x05164,0xf100a43f,"cmp x1, #0x29"
0x05168,0x9341fc20,"asr x0, x1, #0x1"
0x0516c,0x91004c00,"add x0, x0, #0x13"
0x05170,0x9a829001,"csel x1, x0, x2, ls"
0x05174,0x54001be8,"b.hi 0x54f0"
0x05178,0x910003f7,"mov x23, sp"
0x0517c,0xd10303ff,"sub sp, sp, #0xc0"
0x05180,0x5280011a,"mov w26, #0x8"
0x05184,0x2a0003fa,"mov w26, w0"
0x05188,0x51000740,"sub w0, w26, #0x1"
0x0518c,0xf8605884,"ldr x4, [x4, w0, UXTW #0x3]"
0x05190,0xd2800105,"mov x5, #0x8"
0x05194,0x93407c05,"sxtw x5, w0"
0x05198,0x510004a0,"sub w0, w5, #0x1"
0x0519c,0xcb020318,"sub x24, x24, x2"
0x051a0,0xb0000341,"adrp x1, 0x6e000"
0x051a4,0x8b150042,"add x2, x2, x21"
0x051a8,0xf90002f5,"str x21, [x23]"
0x051ac,0xd2883de0,"mov x0, #0x41ef"
0x051b0,0x9e670049,"fmov d9, x2"
0x051b4,0xd280035b,"mov x27, #0x1a"
0x051b8,0xf947c821,"ldr x1, [x1, #0xf90]"
0x051bc,0xf2afd840,"movk x0, #0x7ec2, LSL #16"
0x051c0,0xf2d030c0,"movk x0, #0x8186, LSL #32"
0x051c4,0x8b150318,"add x24, x24, x21"
0x051c8,0xf2e66a40,"movk x0, #0x3352, LSL #48"
0x051cc,0xf90002c0,"str x0, [x22]"
0x051d0,0x39402c39,"ldrb w25, [x1, #0xb]"
0x051d4,0xcb1b0028,"sub x8, x1, x27"
0x051d8,0xeb0800bf,"cmp x5, x8"
0x051dc,0x9a8890a5,"csel x5, x5, x8, ls"
0x051e0,0x1e2702aa,"fmov s10, w21"
0x051e4,0x93407cbc,"sxtw x28, w5"
0x051e8,0x34001005,"cbz w5, 0x53e8"
0x051ec,0xf1004e7f,"cmp x19, #0x13"
0x051f0,0x51000782,"sub w2, w28, #0x1"
0x051f4,0x91264001,"add x1, x0, #0x990"
0x051f8,0x93407c54,"sxtw x20, w2"
0x051fc,0x8b1c037b,"add x27, x27, x28"
0x05200,0xf862d821,"ldr x1, [x1, w2, SXTW #0x3]"
0x05204,0x90000261,"adrp x1, 0x51000"
0x05208,0x9120c026,"add x6, x1, #0x830"
0x0520c,0xdac00004,"rbit x4, x0"
0x05210,0xdac01084,"clz x4, x4"
0x05214,0x9ac42403,"lsr x3, x0, x4"
0x05218,0x387468c6,"ldrb w6, [x6, x20, LSL ]"
0x0521c,0x0b0400c4,"add w4, w6, w4"
0x05220,0x8b24c339,"add x25, x25, w4, SXTW "
0x05224,0x97ffd545,"bl 0xffffffffffffa738"
0x05228,0xf8337ac0,"str x0, [x22, x19, LSL #0x3]"
0x0522c,0xcb1b0026,"sub x6, x1, x27"
0x05230,0xeb1c00df,"cmp x6, x28"
0x05234,0x9a9c90c5,"csel x5, x6, x28, ls"
0x05238,0x35fffc45,"cbnz w5, 0x51c0"
0x0523c,0x1e260140,"fmov w0, s10"
0x05240,0x6b000374,"subs w20, w27, w0"
0x05244,0x54000440,"b.eq 0x52cc"
0x05248,0x6b1a029f,"cmp w20, w26"
0x0524c,0x1a9ad284,"csel w4, w20, w26, le"
0x05250,0x51000482,"sub w2, w4, #0x1"
0x05254,0xb90097a4,"str w4, [x29, #0x94]"
0x05258,0x8b24c318,"add x24, x24, w4, SXTW "
0x0525c,0x93407c45,"sxtw x5, w2"
0x05260,0xf9004fa5,"str x5, [x29, #0x98]"
0x05264,0xf9404fa5,"ldr x5, [x29, #0x98]"
0x05268,0x9120c027,"add x7, x1, #0x830"
0x0526c,0x9e660104,"fmov x4, d8"
0x05270,0xdac00006,"rbit x6, x0"
0x05274,0xdac010c6,"clz x6, x6"
0x05278,0x386568e5,"ldrb w5, [x7, x5, LSL ]"
0x0527c,0x9ac62403,"lsr x3, x0, x6"
0x05280,0x0b0600a6,"add w6, w5, w6"
0x05284,0x8b26c084,"add x4, x4, w6, SXTW "
